Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,"Population, total",SP.POP.TOTL,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791,..
India,IND,Population growth (annual %),SP.POP.GROW,1.26129027125347,1.19285563384335,1.19162966402099,1.1623961434697,1.09729906702925,1.04001395098104,0.973438646910149,0.822648220128724,0.790200540609834,0.883289539766135,0.890706546985984,..
India,IND,Surface area (sq. km),AG.SRF.TOTL.K2,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,..,..
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,441.370107863944,446.666542669658,452.020992940243,457.30592394028,462.351569862673,467.185182245332,471.755150192218,475.652042419085,479.425536881262,483.679010086809,..,..
India,IND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,5.3,..,..,..
India,IND,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2020998390899.14,2097598211573.26,2246783906989.46,2439593980808.9,2713329693634.35,2878536458775.62,2661734078595.43,3064476293210.88,3404829101289.65,3704749866028.23,3837862837662.49,..
India,IND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1540,1580,1670,1790,1970,2070,1900,2170,2390,2580,2650,..
India,IND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6732247711206.38,7120994309944.05,7706181204018.37,8264361849009.08,9131972106245.93,9837436260445.05,9639773300094.61,11250341278206.9,12943322775945.1,14642775922544.5,15958215707486.7,..
India,IND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5130,5360,5730,6080,6640,7080,6870,7960,9080,10180,11000,..
India,IND,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,10.4,..,..,..
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.932,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003,..,..
India,IND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.293,2.289,2.284,2.193,2.184,2.12,2.047,2.014,1.994,1.975,..,..
India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,28.806,18.194,14.535,15.166,15.133,14.796,14.423,14.289,14.185,14.06,..,..
India,IND,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,53.5,..,..,..,..,66.7,..,..,..,..
India,IND,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,81.4,..,81.4,..,..,..,..,89.4,..,..,..,..
